id,genre_ids,original_language,overview,popularity,release_date,title,vote_average,vote_count,budget,revenue,runtime
667538,"{28,12,878}",en,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",507.457,2023-06-06,Transformers: Rise of the Beasts,7.4,3809,195000000.0,439000000.0,127
930564,"{18,35,53}",en,"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten.",488.94,2023-11-16,Saltburn,7.2,685,13000000.0,19313341.0,131
807172,{27},en,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.",482.299,2023-10-04,The Exorcist: Believer,6.1,705,30000000.0,134800000.0,111
517929,"{27,53}",en,"A group of friends seal themselves inside a secluded Cape Cod vacation home after a mysterious orange fog leaks from an old nearby factory. Once trapped, they quickly learn there is no escape.",474.841,2023-10-20,Fog City,5.3,3,0.0,0.0,97
346698,"{35,12,14}",en,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",468.971,2023-07-19,Barbie,7.2,6676,145000000.0,1441800000.0,114
940551,"{16,28,12,35,10751}",en,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",468.604,2023-12-06,Migration,7.2,75,72000000.0,117271638.0,83
844416,"{53,28}",en,"Set in the dark landscape of the Mississippi Delta, where a former bare-knuckle fighter must win one last fight to pay off his debts to the local mob boss and save his childhood home—the stakes nothing less than life or death.",462.741,2023-11-03,Rumble Through the Dark,6.5,30,0.0,0.0,116
762430,"{28,53,80}",en,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.",447.932,2023-08-23,Retribution,6.9,790,20000000.0,16700000.0,91
940721,"{878,27,28}",ja,"In postwar Japan, a new terror rises. Will the devastated people be able to survive... let alone fight back?",440.591,2023-11-03,Godzilla Minus One,8.0,229,13000000.0,81600000.0,125
1053592,"{18,28,53}",es,"After being implicated in a terrorist attack, Santi, a taxi driver, is taken hostage by one of the perpetrators.",439.14,2023-09-15,All the Names of God,6.8,26,0.0,0.0,105
615656,"{28,878,27}",en,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,435.728,2023-08-02,Meg 2: The Trench,6.7,2762,129000000.0,384056482.0,116
843380,"{37,53,28}",en,"In 1897, veteran bounty hunter Max Borlund is deep into Mexico where he encounters professional gambler and outlaw Joe Cribbens — a sworn enemy he sent to prison years before. Max is on a mission to find and return Rachel Kidd, the wife of a wealthy businessman, who as the story is told to Max, has been abducted by Buffalo Soldier Elijah Jones. Max is ultimately faced with a showdown to save honor.",427.959,2022-09-30,Dead for a Dollar,5.7,177,0.0,81403.0,106
976573,"{16,35,10751,14,10749}",en,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",412.525,2023-06-14,Elemental,7.7,3377,200000000.0,496000000.0,102
569094,"{16,28,12,878}",en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",408.875,2023-05-31,Spider-Man: Across the Spider-Verse,8.4,5392,100000000.0,690500000.0,140
603692,"{28,53,80}",en,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",404.137,2023-03-22,John Wick: Chapter 4,7.8,5294,90000000.0,426978565.0,170
1022796,"{16,10751,14,12}",en,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",402.103,2023-11-13,Wish,6.5,226,175000000.0,176900000.0,95
1151534,"{53,18}",es,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",393.687,2023-09-29,Nowhere,7.5,1009,0.0,0.0,109
1008042,"{27,53}",en,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",388.893,2023-07-26,Talk to Me,7.2,1996,4500000.0,92000000.0,95
298618,"{28,12,878}",en,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",385.441,2023-06-13,The Flash,6.8,3420,220000000.0,268400000.0,144
726209,"{18,9648,53,878}",en,A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices—and two strangers appear at their door.,375.39,2023-11-22,Leave the World Behind,6.5,1402,0.0,0.0,141
939335,"{28,80,18,53}",en,"LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",373.957,2023-09-29,Muzzle,6.5,138,0.0,7807.0,100
565770,"{28,878,12}",en,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",363.548,2023-08-16,Blue Beetle,6.9,1979,104000000.0,129300000.0,128
466420,"{80,18,36}",en,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",360.704,2023-10-18,Killers of the Flower Moon,7.5,1719,200000000.0,156300000.0,206
951491,"{27,53}",en,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",358.997,2023-09-26,Saw X,7.4,1355,13000000.0,111000000.0,118
893723,"{16,10751,28,878,35,18,12}",en,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",353.851,2023-09-21,PAW Patrol: The Mighty Movie,6.9,194,30000000.0,192400000.0,92
945937,"{28,80,18}",en,"When his aging mob boss is whacked, Charlie Swift, a loyal friend and hired gun, will stop at nothing to destroy the upcoming crew that took him out.",351.214,2023-12-08,Fast Charlie,6.3,52,20000000.0,0.0,90
980489,"{12,28,18}",en,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,350.82,2023-08-09,Gran Turismo,8.0,1719,60000000.0,121700000.0,135
1010581,"{18,10749}",es,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",350.176,2023-06-08,My Fault,8.1,2076,0.0,0.0,117
798141,{878},en,"Without warning, millions of mysterious alien “doors” suddenly appear around the globe. In a rush to determine the reason for their arrival, mankind must work together to understand the purpose of these cosmic anomalies.",341.713,2021-03-23,Doors,5.1,133,0.0,0.0,84
76600,"{878,12,28}",en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",340.495,2022-12-14,Avatar: The Way of Water,7.6,10505,460000000.0,2320250281.0,192
872906,"{28,12,53}",hi,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",339.986,2023-09-07,Jawan,7.3,160,36150000.0,136698671.0,169
870358,"{16,28,10751,35}",en,"This Christmas, Damian Wayne wants to be a superhero like his dad – the one and only Batman. When Damian is left home alone while Batman takes on Gotham’s worst supervillains on Christmas Eve, he stumbles upon a villainous plot to steal Christmas and leaps at the chance to save the day.",339.438,2023-12-08,Merry Little Batman,6.6,91,0.0,0.0,97
1035982,"{27,9648}",en,"A group of cold case investigators stay at the Carmichael Manor, site of the grisly and unsolved murders of the Carmichael family back in the eighties. After four nights, the group was never heard from again. What is discovered on their footage is even more disturbing than anything found on the Hell House tapes.",328.345,2023-10-24,Hell House LLC Origins: The Carmichael Manor,6.4,49,0.0,0.0,98
1046032,"{16,35,10751,28}",en,"To keep their annual Holiday Heist-tacular afloat, Mr. Wolf and his crew of animal outlaws will have to restore the whole city's Christmas spirit — fast!",328.037,2023-11-30,The Bad Guys: A Very Bad Holiday,6.7,71,0.0,0.0,26
968051,"{27,9648,53}",en,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",325.322,2023-09-06,The Nun II,6.9,1588,38500000.0,268100000.0,110
297802,"{28,12,14}",en,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",323.134,2018-12-07,Aquaman,6.9,13255,160000000.0,1148528393.0,143
353491,"{14,28,878}",en,A boy haunted by visions of a parallel world aids its disillusioned guardian in preventing the destruction of the nexus of universes known as the Dark Tower.,321.573,2017-08-03,The Dark Tower,5.7,4737,60000000.0,113231078.0,95
315162,"{12,14,16,35,10751,28}",en,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",309.18,2022-12-07,Puss in Boots: The Last Wish,8.3,6803,90000000.0,484700000.0,103
823464,"{28,878,12}",en,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",228.596,2024-04-10,Godzilla x Kong: The New Empire,0.0,0,0.0,0.0,0
609681,"{878,12,28}",en,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",298.787,2023-11-08,The Marvels,6.4,768,274800000.0,205600000.0,105
937249,"{53,878,28}",en,"When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past.",296.444,2023-09-29,57 Seconds,5.9,241,0.0,0.0,99
724209,"{53,28}",en,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,285.65,2023-08-09,Heart of Stone,6.9,1394,0.0,0.0,124
447365,"{878,12,28}",en,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",283.575,2023-05-03,Guardians of the Galaxy Vol. 3,8.0,5608,250000000.0,845600000.0,150
335977,"{12,28}",en,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",281.362,2023-06-28,Indiana Jones and the Dial of Destiny,6.7,2515,294700000.0,383922132.0,155
634649,"{28,12,878}",en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",276.83,2021-12-15,Spider-Man: No Way Home,8.0,18768,200000000.0,1921847111.0,148
575264,"{28,53}",en,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",274.666,2023-07-08,Mission: Impossible - Dead Reckoning Part One,7.6,2810,291000000.0,567500000.0,164
1123093,"{16,35,10751}",en,"The winter holidays are turning out to be especially stressful for Greg Heffley this year. After accidentally damaging a snowplow while making a snowman with best friend Rowley Jefferson, Greg worries he won’t get the new video game console he so desperately wants for Christmas. To make matters worse, he gets snowed in with his family, including his grumpy older brother Rodrick and annoying younger brother Manny.",270.929,2023-12-08,Diary of a Wimpy Kid Christmas: Cabin Fever,7.1,35,0.0,0.0,64
635910,"{53,27}",en,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,266.551,2023-08-09,The Last Voyage of the Demeter,7.1,1062,45000000.0,21600000.0,119
1034062,"{16,28,14}",en,"In 1980s Hollywood, action star Johnny Cage is looking to become an A-list actor. But when his costar, Jennifer, goes missing from set, Johnny finds himself thrust into a world filled with shadows, danger, and deceit. As he embarks on a bloody journey, Johnny quickly discovers the City of Angels has more than a few devils in its midst.",257.338,2023-10-17,Mortal Kombat Legends: Cage Match,7.0,67,0.0,0.0,80
678512,"{28,18}",en,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",250.503,2023-07-03,Sound of Freedom,8.1,1704,14500000.0,249125713.0,131
504148,{28},en,Top special agent Lucinda Kavsky works for a secret part of the CIA. She's given a special assignment but then set up by her own agency.,247.437,2021-01-28,The Serpent,5.1,23,0.0,0.0,90
1156255,"{28,53}",en,"As Israel is rocked by a series of terrorist bombings, a US senator's daughter is killed in one bloody explosion. Now, ex-Mossad agent Etan must lead an elite, covert team of agents and mercenaries to find the man responsible—the elusive “Engineer.” Can they find and destroy the madman before more innocent lives are lost?",245.82,2023-08-18,The Engineer,6.6,48,0.0,0.0,93
447277,"{12,10751,14,10749}",en,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",244.49,2023-05-18,The Little Mermaid,6.4,2499,297000000.0,569600000.0,135
697843,"{28,53}",en,"Tasked with extracting a family who is at the mercy of a Georgian gangster, Tyler Rake infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot, and the gangster dies in the heat of battle, his equally ruthless brother tracks down Rake and his team to Vienna, in order to get revenge.",242.861,2023-06-09,Extraction 2,7.5,2027,65000000.0,0.0,123
975902,"{28,10752}",en,"Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.",242.084,2023-10-26,Boudica,6.0,95,0.0,0.0,101
820609,"{27,878,53}",en,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,241.927,2023-09-22,No One Will Save You,6.8,823,22800000.0,0.0,93
645488,{99},en,Amber Heard and Nicole Kidman discuss their characters Mera and Atlanna.,238.747,2019-03-26,Aquaman: Heroines of Atlantis,6.1,37,0.0,0.0,6
1060090,"{28,53}",en,"A group of righteous assassins called The Collective take aim at a highly sophisticated human trafficking ring backed by a network of untouchable billionaires. With their backs against the wall, The Collective has no choice but to put their most important mission in the hands of rookie assassin, Sam Alexander.",233.339,2023-08-04,The Collective,5.8,64,0.0,0.0,86
1076364,"{16,12,10751}",en,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",227.903,2023-06-15,Carl's Date,7.5,339,0.0,0.0,9
299536,"{12,28,878}",en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",222.655,2018-04-25,Avengers: Infinity War,8.3,28196,300000000.0,2052415039.0,149
934194,"{878,28,53,27}",en,"In a remote Arctic community, a group of Inuit girls fight off an alien invasion, all while trying to make it to the coolest party in town.",221.33,2022-06-24,Slash/Back,6.6,46,0.0,15511.0,87
671,"{12,14}",en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",218.401,2001-11-16,Harry Potter and the Philosopher's Stone,7.9,25874,125000000.0,976475550.0,152
1076487,"{28,18,10752}",en,A gunned down Navy SEAL Master Chief must guide a child to safety through a gauntlet of hostile Taliban insurgents and survive the brutal Afghanistan wilderness.,215.954,2023-06-30,Warhorse One,7.2,189,0.0,0.0,120
820525,"{10749,18}",en,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",214.552,2023-09-13,After Everything,7.0,617,14000000.0,10600000.0,93
753342,"{18,36,10752}",en,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",214.537,2023-11-22,Napoleon,6.4,861,165000000.0,206900000.0,158
496450,"{16,14,28,10749,10751}",fr,"After a guardian of magical jewels turns an awkward girl and a popular boy into superheroes, they can never reveal their identities — even to each other.",213.531,2023-07-05,"Miraculous: Ladybug & Cat Noir, The Movie",7.8,705,86000000.0,39357124.0,107
1072790,"{35,10749}",en,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",210.082,2023-12-21,Anyone But You,7.3,30,25000000.0,32900000.0,104
1186957,"{16,10751,14}",en,"When seven-year-old William receives a new favorite toy for Christmas, he discovers a lifelong friend and unlocks a world of magic.",209.545,2023-11-21,The Velveteen Rabbit,7.3,40,0.0,0.0,44
744857,"{27,53}",es,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.",209.396,2023-10-05,When Evil Lurks,7.3,344,0.0,547573.0,99
1061181,"{28,12,10752}",ja,"It follows Li Xin and Wang Qi as they stand on the battlefield for the first time to fight off an invasion by Zhao, and it also follows Ying Zheng's unknown past.",207.561,2023-07-28,Kingdom 3: The Flame of Fate,7.5,77,0.0,0.0,0
961268,"{28,53}",ko,"Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.",206.154,2023-10-05,Ballerina,7.0,354,0.0,0.0,93
734253,"{28,12,18,14}",hi,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",205.663,2023-06-16,Adipurush,5.2,68,63000000.0,43000000.0,179
672,"{12,14}",en,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",205.258,2002-11-13,Harry Potter and the Chamber of Secrets,7.7,20792,100000000.0,876688482.0,161
755401,"{28,18,12,9648,53}",en,"After a high school senior working on his pilot’s license rescues a dog named Oreo, he finds out his mom is a CIA agent who’s been captured. He teams up with Oreo and a new friend to find his mother and uncover double agents inside the CIA.",202.573,2020-10-20,Skydog,6.7,10,0.0,0.0,0
